,rating,title,user
0,4,A Little Life,39597914
1,4,The Orphan Master's Son,39597914
2,4,Homegoing,39597914
3,4,The Buried Giant,39597914
4,5,The Blinds,39597914
5,4,The Power,39597914
6,4,Annihilation,39597914
7,4,The Bone Clocks,39597914
8,3,Purity,39597914
9,3,Lincoln in the Bardo,39597914
10,4,Alias Grace,39597914
11,4,The Alienist,39597914
12,3,The Magic Strings of Frankie Presto,39597914
13,4,Murphy,39597914
14,3,The Sportswriter,39597914
15,4,Strangers to Temptation,39597914
16,4,The Pale King,39597914
17,4,Personae,39597914
18,3,Demian,39597914
19,3,Cataract City,39597914
20,4,The Complete Cosmicomics,39597914
21,5,Hades,39597914
22,5,I Know This Much Is True,39597914
23,4,The Magicians,39597914
24,3,The Magician's Land,39597914
25,3,The Magician King,39597914
26,3,My Struggle: Book 1,39597914
27,4,Between the World and Me,39597914
28,4,"I, Claudius",39597914
29,3,Underworld,39597914
30,4,Hard-Boiled Wonderland and the End of the World,39597914
31,4,World War Z: An Oral History of the Zombie War,39597914
32,4,Cat's Eye,39597914
33,4,The Brief Wondrous Life of Oscar Wao,39597914
34,3,The God of Small Things,39597914
35,4,Glyph,39597914
36,4,The Book of Sand,39597914
37,3,Invisible Cities,39597914
38,4,Lolita,39597914
39,5,The Name of the Wind,39597914
40,5,Flee,39597914
41,5,A Confederacy of Dunces,39597914
42,4,Do Androids Dream of Electric Sheep?,39597914
43,5,Honeysuckle & Pain,39597914
44,2,The Property,39597914
45,4,All the Names,39597914
46,3,The Double,39597914
47,3,Ignorance,39597914
48,5,A Naked Singularity,39597914
49,5,One River,39597914
50,3,The Mind of a Mnemonist: A Little Book about a Vast Memory,39597914
51,5,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",39597914
52,4,Never Let Me Go,39597914
53,5,Neverwhere,39597914
54,5,Into the Forest,39597914
55,4,One Rainy Day in May,39597914
56,5,Freedom,39597914
57,2,The Stranger,39597914
58,4,Siddhartha,39597914
59,2,Go Set a Watchman,39597914
60,3,Trigger Warning: Short Fictions and Disturbances,39597914
61,2,Jonathan Strange & Mr Norrell,39597914
62,5,Cosmicomics,39597914
63,3,Mason & Dixon,39597914
64,4,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",39597914
65,3,Ad Hoc at Home,39597914
66,5,The Food Lab: Better Home Cooking Through Science,39597914
67,3,Metamagical Themas: Questing for the Essence of Mind and Pattern,39597914
68,0,Norwegian Wood,39597914
69,4,Station Eleven,39597914
70,4,Anansi Boys,39597914
71,3,The Remains of the Day,39597914
72,5,The Corrections,39597914
73,5,American Gods,39597914
74,4,The Dharma Bums,39597914
75,5,The Aleph and Other Stories,39597914
76,4,Battle Royale,39597914
77,5,The Name of the Rose,39597914
78,4,V.,39597914
79,4,The Unbearable Lightness of Being,39597914
80,5,Cat's Cradle,39597914
81,4,Breakfast of Champions,39597914
82,3,Heart of Darkness,39597914
83,3,The Metamorphosis,39597914
84,4,One Flew Over the Cuckoo's Nest,39597914
85,5,On the Road,39597914
86,4,A Clockwork Orange,39597914
87,4,Fight Club,39597914
88,4,Brave New World,39597914
89,4,Inherent Vice,39597914
90,5,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",39597914
91,5,House of Leaves,39597914
92,4,Neuromancer,39597914
93,4,Ready Player One,39597914
94,3,MaddAddam,39597914
95,4,The Year of the Flood,39597914
96,4,Get in Trouble,39597914
97,5,The Electric Kool-Aid Acid Test,39597914
98,4,Designing Great Beers: The Ultimate Guide to Brewing Classic Beer Styles,39597914
99,4,Brewing Classic Styles: 80 Winning Recipes Anyone Can Brew,39597914
100,4,Foucault's Pendulum,39597914
101,4,Black Water: The Book of Fantastic Literature,39597914
102,4,Catch-22,39597914
103,4,1984,39597914
104,5,"Novels & Stories 1963-1973: Cat's Cradle/God Bless You, Mr Rosewater/Slaughterhouse-Five/Breakfast of Champions/Stories",39597914
105,4,An Astronaut's Guide to Life on Earth,39597914
106,4,The Divine Comedy,39597914
107,4,The Alchemist,39597914
108,4,Brave New World / Brave New World Revisited,39597914
109,5,The Autobiography of Malcolm X,39597914
110,5,Roots: The Saga of an American Family,39597914
111,5,How to Brew: Everything You Need to Know to Brew Beer Right the First Time,39597914
112,4,HTML and CSS: Design and Build Websites,39597914
113,5,"Radical Brewing: Recipes, Tales and World-Altering Meditations in a Glass",39597914
114,4,Love Your Leftovers: Through Savvy Meal Planning Turn Classic Main Dishes into More than 100 Delicious Recipes,39597914
115,4,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,39597914
116,5,Neurocomic,39597914
117,3,Gulliver's Travels,39597914
118,5,East of Eden,39597914
119,4,Oryx and Crake,39597914
120,4,Making Ideas Happen: Overcoming the Obstacles Between Vision and Reality,39597914
121,5,Labyrinths: Selected Stories & Other Writings,39597914
122,5,On the Road: the Original Scroll,39597914
123,2,"Thinking, Fast and Slow",39597914
124,2,This Will Make You Smarter: New Scientific Concepts to Improve Your Thinking,39597914
125,5,"The Where, the Why, and the How: 75 Artists Illustrate Wondrous Mysteries of Science",39597914
126,5,"The Information: A History, a Theory, a Flood",39597914
127,3,Sync: The Emerging Science of Spontaneous Order,39597914
128,4,I Am a Strange Loop,39597914
129,5,"Gödel, Escher, Bach: An Eternal Golden Braid",39597914
130,5,The Satanic Verses,39597914
131,4,Infinite Jest,39597914
132,4,Helter Skelter: The True Story of the Manson Murders,39597914
133,3,In Cold Blood,39597914
134,4,Gravity's Rainbow,39597914
135,5,1Q84,39597914
136,3,Blindness,39597914
137,4,The Brothers Karamazov,39597914
138,4,Crime and Punishment,39597914
139,5,The Illuminatus! Trilogy,39597914
140,4,The King in Yellow and Other Horror Stories,39597914
141,4,Midnight's Children,39597914
142,5,Kafka on the Shore,39597914
143,4,Love in the Time of Cholera,39597914
144,5,One Hundred Years of Solitude,39597914
145,5,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,39597914
146,5,Fear and Loathing in Las Vegas,39597914
147,5,The Count of Monte Cristo,39597914
0,4,Norse Mythology,31236408
1,3,Turtles All the Way Down,31236408
2,2,Plague Land,31236408
3,4,The Power,31236408
4,5,Alias Grace,31236408
5,4,The Fate of the Tearling,31236408
6,5,The Invasion of the Tearling,31236408
7,4,The Wise Man's Fear,31236408
8,0,1-2-3 Magic: Effective Discipline for Children 2-12,31236408
9,5,Watchmen,31236408
10,3,The Left Hand of Darkness,31236408
11,5,The Miniaturist,31236408
12,2,The Yiddish Policemen's Union,31236408
13,3,Let the Right One In,31236408
14,5,The Amber Spyglass,31236408
15,4,The Subtle Knife,31236408
16,3,The Waste Lands,31236408
17,3,The Passage,31236408
18,4,Doomsday Book,31236408
19,3,Spook: Science Tackles the Afterlife,31236408
20,4,Cat's Eye,31236408
21,3,The Edible Woman,31236408
22,3,The Ocean at the End of the Lane,31236408
23,5,Do Androids Dream of Electric Sheep?,31236408
24,4,The Casual Vacancy,31236408
25,3,The Graveyard Book,31236408
26,4,The Name of the Wind,31236408
27,4,The Drawing of the Three,31236408
28,4,The Golem's Eye,31236408
29,5,The Queen of the Tearling,31236408
30,5,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",31236408
31,3,Fragile Things: Short Fictions and Wonders,31236408
32,1,Swamplandia!,31236408
33,3,The Amulet of Samarkand,31236408
34,2,The Metamorphosis,31236408
35,4,The Sisters Brothers,31236408
36,3,The Man in the High Castle,31236408
37,4,The Gunslinger,31236408
38,5,The Storied Life of A.J. Fikry,31236408
39,4,The Bone Clocks,31236408
40,3,Witches Abroad,31236408
41,5,Everything I Never Told You,31236408
42,1,"The Witches: Salem, 1692",31236408
43,3,Room,31236408
44,5,Never Let Me Go,31236408
45,3,The Rook,31236408
46,2,Red Rising,31236408
47,4,A Confederacy of Dunces,31236408
48,2,Flowers in the Attic,31236408
49,3,Wool,31236408
50,5,Euphoria,31236408
51,5,Bad Feminist,31236408
52,3,Blindness,31236408
53,4,Neuromancer,31236408
54,4,Anansi Boys,31236408
55,3,The Eyre Affair,31236408
